model,acc,loss
model: 0, acc: 0.4527, loss: 1.2440
model: 2, acc: 0.4811, loss: 1.1853
model: 4, acc: 0.4583, loss: 1.1427
model: 6, acc: 0.5133, loss: 1.0443
model: 8, acc: 0.5644, loss: 1.1473
model: 10, acc: 0.5814, loss: 1.1275
model: 12, acc: 0.6345, loss: 0.8483
model: 14, acc: 0.7348, loss: 0.7256
model: 16, acc: 0.5739, loss: 1.0465
model: 18, acc: 0.6799, loss: 0.7530
model: 20, acc: 0.6383, loss: 0.8270
model: 22, acc: 0.7595, loss: 0.7569
model: 24, acc: 0.7292, loss: 0.7815
model: 26, acc: 0.8580, loss: 0.4275
model: 28, acc: 0.8485, loss: 0.3912
model: 30, acc: 0.8428, loss: 0.4064
model: 32, acc: 0.8314, loss: 0.4255
model: 34, acc: 0.9432, loss: 0.1532
model: 36, acc: 0.9318, loss: 0.1607
model: 38, acc: 0.9091, loss: 0.2581
model: 40, acc: 0.9602, loss: 0.1221
model: 42, acc: 0.8750, loss: 0.3363
model: 44, acc: 0.9489, loss: 0.1037
model: 46, acc: 0.9773, loss: 0.0631
model: 48, acc: 0.9186, loss: 0.1845
model: 50, acc: 0.9659, loss: 0.0549
model: 52, acc: 0.9527, loss: 0.1082
model: 54, acc: 0.9545, loss: 0.1332
model: 56, acc: 0.9053, loss: 1.1867
model: 58, acc: 0.9602, loss: 0.1148
model: 60, acc: 0.9640, loss: 0.1068
model: 62, acc: 0.9697, loss: 0.0809
model: 64, acc: 0.9015, loss: 0.3026
model: 66, acc: 0.9754, loss: 0.0492
model: 68, acc: 0.9773, loss: 0.0766
model: 70, acc: 0.9527, loss: 0.1901
model: 72, acc: 0.9886, loss: 0.0245
model: 74, acc: 0.7348, loss: 1.5296
model: 76, acc: 0.8996, loss: 0.2486
model: 78, acc: 0.9830, loss: 0.0573
model: 80, acc: 0.9943, loss: 0.0134
model: 82, acc: 0.8750, loss: 1.0787
model: 84, acc: 0.8902, loss: 1.8306
model: 86, acc: 0.8220, loss: 1.3903
model: 88, acc: 0.9886, loss: 0.0559
model: 90, acc: 0.9773, loss: 0.1511
model: 92, acc: 0.9545, loss: 1.2382
model: 94, acc: 0.9318, loss: 0.7737
model: 96, acc: 0.9375, loss: 0.3394
model: 98, acc: 0.9830, loss: 0.0350
