model,acc,lossmodel: 0, acc: 0.6360, loss: 0.9274
model: 2, acc: 0.6601, loss: 0.5947
model: 4, acc: 0.7719, loss: 0.5281
model: 6, acc: 0.7763, loss: 0.5419
model: 8, acc: 0.7917, loss: 0.4449
model: 10, acc: 0.6886, loss: 0.7344
model: 12, acc: 0.8662, loss: 0.3299
model: 14, acc: 0.9057, loss: 0.2430
model: 16, acc: 0.9320, loss: 0.1937
model: 18, acc: 0.9079, loss: 0.1902
model: 20, acc: 0.8553, loss: 0.3058
model: 22, acc: 0.9671, loss: 0.1424
model: 24, acc: 0.8947, loss: 0.2837
model: 26, acc: 0.9167, loss: 0.1568
model: 28, acc: 0.9474, loss: 0.1841
model: 30, acc: 0.7412, loss: 0.5369
model: 32, acc: 0.9671, loss: 0.0596
model: 34, acc: 0.9671, loss: 0.0822
model: 36, acc: 0.9868, loss: 0.0430
model: 38, acc: 0.9868, loss: 0.0734
model: 40, acc: 0.9868, loss: 0.0310
model: 42, acc: 0.9868, loss: 0.0552
model: 44, acc: 0.9934, loss: 0.0216
model: 46, acc: 1.0000, loss: 0.0298
model: 48, acc: 0.9868, loss: 0.0522
model: 50, acc: 0.9605, loss: 0.0730
model: 52, acc: 1.0000, loss: 0.0295
model: 54, acc: 0.9934, loss: 0.0166
model: 56, acc: 1.0000, loss: 0.0237
model: 58, acc: 0.9934, loss: 0.0356
model: 60, acc: 1.0000, loss: 0.0066
model: 62, acc: 0.9934, loss: 0.0366
model: 64, acc: 1.0000, loss: 0.0087
model: 66, acc: 1.0000, loss: 0.0092
model: 68, acc: 0.9803, loss: 0.0407
model: 70, acc: 0.9803, loss: 0.0410
model: 72, acc: 1.0000, loss: 0.0102
model: 74, acc: 1.0000, loss: 0.0085
model: 76, acc: 0.9803, loss: 0.0692
model: 78, acc: 1.0000, loss: 0.0044
model: 80, acc: 1.0000, loss: 0.0053
model: 82, acc: 0.9737, loss: 0.0554
model: 84, acc: 1.0000, loss: 0.0013
model: 86, acc: 1.0000, loss: 0.0038
model: 88, acc: 1.0000, loss: 0.0021
model: 90, acc: 0.9934, loss: 0.0309
model: 92, acc: 1.0000, loss: 0.0015
model: 94, acc: 1.0000, loss: 0.0009
model: 96, acc: 1.0000, loss: 0.0004
model: 98, acc: 1.0000, loss: 0.0001
