               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10594,            0.098777,            0.067141,                   0,                   0,                   0,                   0,            0.088153,            0.089144,            0.067663,             0.00035,             0.00035,             0.09685
                   1,            0.092668,             0.13949,            0.066989,           0.0064449,            0.060606,           0.0051109,          0.00095082,            0.071511,             0.10776,            0.065911,          0.00070998,          0.00070998,             0.09361
                   2,            0.085722,             0.14624,            0.066668,            0.010257,             0.13131,           0.0099137,           0.0021362,            0.064647,             0.10032,            0.066365,           0.0010699,           0.0010699,             0.09037
                   3,            0.079914,             0.13043,            0.066413,            0.036324,             0.44931,            0.046193,            0.010333,            0.064216,            0.085606,            0.066507,           0.0014297,           0.0014297,             0.08713
                   4,            0.078713,             0.11828,            0.066369,             0.24451,             0.43434,            0.094786,            0.023332,            0.057821,            0.080184,            0.066132,           0.0017893,           0.0017893,            0.083889
                   5,            0.072679,            0.093001,            0.065415,             0.11206,             0.25253,            0.099444,            0.029845,            0.057295,            0.060128,            0.063754,           0.0021487,           0.0021487,            0.080649
                   6,            0.071268,            0.089655,             0.06383,             0.14994,             0.58117,             0.16051,            0.051701,            0.064063,            0.052137,            0.062565,           0.0025078,           0.0025078,            0.077408
                   7,            0.072143,            0.078935,            0.062878,             0.21535,             0.47658,             0.22946,             0.10634,             0.05848,            0.050027,            0.060888,           0.0028665,           0.0028665,            0.074167
                   8,            0.071242,            0.079673,            0.061413,             0.19651,             0.33333,             0.18811,             0.05735,             0.06472,            0.048372,            0.059546,           0.0032249,           0.0032249,            0.070925
                   9,            0.073145,            0.076616,            0.061236,             0.18713,             0.53373,              0.2796,            0.071551,            0.064316,            0.046303,            0.058361,           0.0035828,           0.0035828,            0.067683
                  10,            0.074842,            0.076451,            0.060035,             0.24505,             0.56528,             0.30242,            0.088455,            0.063918,             0.04659,            0.056983,           0.0039403,           0.0039403,             0.06444
                  11,            0.073304,            0.072944,            0.059088,             0.58252,             0.30576,             0.27261,            0.096804,             0.06546,            0.051201,            0.054668,           0.0042971,           0.0042971,            0.061197
                  12,            0.069979,            0.073346,            0.058343,             0.32305,             0.47647,             0.32383,            0.077463,            0.063563,            0.044721,            0.052448,           0.0046534,           0.0046534,            0.057953
                  13,            0.071626,            0.076395,            0.056989,             0.21365,             0.52959,             0.25992,             0.10376,             0.05564,            0.047952,            0.051316,           0.0050091,           0.0050091,            0.054709
                  14,            0.072114,            0.069131,            0.055256,             0.37515,             0.41621,             0.30223,            0.072077,            0.078554,            0.042134,            0.050796,            0.005364,            0.005364,            0.051464
                  15,            0.073347,            0.078364,            0.054893,             0.43731,             0.64335,             0.50643,             0.23818,            0.062594,            0.041242,             0.04947,           0.0057181,           0.0057181,            0.048218
                  16,            0.069237,            0.068977,            0.053128,             0.41265,             0.67949,             0.56754,             0.28104,            0.056214,            0.048272,            0.047133,           0.0060715,           0.0060715,            0.044971
                  17,            0.073825,            0.071754,            0.052885,             0.49233,             0.41124,             0.36626,            0.071894,            0.076201,            0.041456,            0.047034,            0.006424,            0.006424,            0.041724
                  18,            0.074798,            0.068044,            0.051302,             0.61063,             0.69028,             0.69278,             0.31199,            0.061271,            0.042663,            0.045304,           0.0067756,           0.0067756,            0.038476
                  19,            0.067118,            0.066172,            0.049785,             0.54722,             0.63243,             0.61427,             0.33607,            0.051052,            0.042533,            0.044531,           0.0071262,           0.0071262,            0.035226
                  20,            0.070032,            0.072592,            0.048609,              0.1319,             0.45637,             0.22205,            0.056764,            0.064558,            0.052637,            0.043345,           0.0074758,           0.0074758,            0.031976
                  21,            0.069166,            0.077302,            0.048369,             0.49779,             0.75033,              0.6588,             0.29778,            0.051853,            0.043912,            0.043041,           0.0078243,           0.0078243,            0.028724
